Linux 7.0.0-31-generic (ausitn-garcia-ROG-Zephyrus-G14-GA402XV-GA402XV) 	09/18/26 	_x86_64_	(16 CPU)

21:29:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:31:14       8    0.60    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.79
21:31:14       9    0.61    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.99
21:31:14      10    1.02    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   98.58
21:31:14      11    1.22    0.00    0.41    0.20    0.00    0.00    0.00    0.00    0.00   98.17
21:31:14      12    1.01    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   98.38
21:31:14      13    1.40    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   97.80
21:31:14      14    0.81    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00   98.79
21:31:14      15    1.00    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   98.19

21:31:14     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:31:19     all    1.48    0.00    0.79    0.16    0.00    0.39    0.00    0.00    0.00   97.17
21:31:19       0    0.60    0.00    0.80    0.00    0.00    1.40    0.00    0.00    0.00   97.20
21:31:19       1    0.81    0.00    0.40    0.00    0.00    0.61    0.00    0.00    0.00   98.18
21:31:19       2    1.59    0.00    1.00    0.00    0.00    0.60    0.00    0.00    0.00   96.81
